station_id,sensor_id,latitude,longitude,NO2_t,measurement_datetime_utc,measurement_datetime_tokyo,NO2_lag_1,NO2_lag_2,NO2_lag_3,NO2_lag_4,past_temp_1,past_humidity_1,past_pressure_1,past_wind_1,past_wind_dir_1,past_temp_2,past_humidity_2,past_pressure_2,past_wind_2,past_wind_dir_2,past_temp_3,past_humidity_3,past_pressure_3,past_wind_3,past_wind_dir_3,past_temp_4,past_humidity_4,past_pressure_4,past_wind_4,past_wind_dir_4,future_temp_1,future_humidity_1,future_pressure_1,future_wind_1,future_wind_dir_1,future_temp_2,future_humidity_2,future_pressure_2,future_wind_2,future_wind_dir_2,future_temp_3,future_humidity_3,future_pressure_3,future_wind_3,future_wind_dir_3,future_temp_4,future_humidity_4,future_pressure_4,future_wind_4,future_wind_dir_4,geometry,NO2_T+1,NO2_T+2,NO2_T+3,NO2_T+4
1214832,6519019,35.616667,139.722222,0.013,2025-03-08 10:00:00,2025-03-08 19:00:00,0.015,0.015,0.016,0.022,3.81,83,1026,4.12,30,4.92,75,1026,3.6,20,5.84,65,1026,5.66,40,5.72,63,1026,3.6,10,2.48,89,1026,6.11,15,2.74,90,1026,6.83,3,2.96,91,1026,7.45,356,3.19,92,1025,7.46,352,POINT (384279.04605193064 3942184.11290138),0.012719704,0.012483366,0.011956204,0.01139261
1214833,6518521,35.608333,139.725,0.009,2025-03-08 10:00:00,2025-03-08 19:00:00,0.012,0.011,0.011,0.014,3.81,83,1026,4.12,30,4.92,75,1026,3.6,20,5.84,65,1026,5.66,40,5.72,63,1026,3.6,10,2.52,89,1026,6.27,16,2.8,91,1026,7.0,5,3.05,92,1026,7.7,357,3.28,93,1025,7.72,352,POINT (384518.6669383784 3941256.471226863),0.012586733,0.012483314,0.011996459,0.011243437
1214884,6517597,35.716667,139.816667,0.01,2025-03-08 10:00:00,2025-03-08 19:00:00,0.011,0.009,0.013,0.015,3.99,84,1027,4.12,30,5.26,72,1026,3.6,20,6.07,62,1025,5.66,40,5.65,65,1026,3.6,10,2.47,89,1026,5.33,22,2.73,90,1026,5.9,13,2.9,91,1026,6.29,359,3.03,92,1025,6.46,354,POINT (392966.379220307 3953168.7195949303),0.013278,0.013117695,0.012624415,0.011779718
1214929,6587241,35.591667,139.713889,0.019,2025-03-08 10:00:00,2025-03-08 19:00:00,0.024,0.023,0.024,0.027,3.81,83,1026,4.12,30,4.92,75,1026,3.6,20,5.84,65,1026,5.66,40,5.72,63,1026,3.6,10,2.47,90,1026,6.46,14,2.76,91,1026,7.2,2,3.01,92,1026,7.86,356,3.27,93,1025,7.82,351,POINT (383488.09050767904 3939421.0388076007),0.012797456,0.012568623,0.0121103395,0.011668035
1214930,6519173,35.573056,139.686389,0.009,2025-03-08 10:00:00,2025-03-08 19:00:00,0.01,0.011,0.013,0.015,3.81,83,1026,4.12,30,4.92,75,1026,3.6,20,5.84,65,1026,5.66,40,5.72,63,1026,3.6,10,2.5,90,1026,6.23,14,2.75,91,1026,6.97,1,2.97,92,1026,7.54,356,3.2,93,1025,7.5,351,POINT (380969.1151820597 3937389.6760530444),0.012678446,0.01254786,0.012053477,0.011287761
1214931,6519744,35.597222,139.697222,0.011,2025-03-08 10:00:00,2025-03-08 19:00:00,0.014,0.012,0.02,0.018,3.81,83,1026,4.12,30,4.92,75,1026,3.6,20,5.84,65,1026,5.66,40,5.72,63,1026,3.6,10,2.4,90,1026,6.11,15,2.67,91,1026,6.83,3,2.91,92,1026,7.45,356,3.16,93,1025,7.46,352,POINT (381986.25815688365 3940057.0376632116),0.012373239,0.012209562,0.011637239,0.011076294
1215290,6587168,35.719444,139.734722,0.014,2025-03-08 10:00:00,2025-03-08 19:00:00,0.014,0.019,0.027,0.025,3.29,83,1027,4.12,30,4.38,76,1026,3.6,20,5.57,62,1026,5.66,40,5.35,62,1026,3.6,10,2.05,88,1026,5.18,23,2.35,89,1026,5.72,9,2.58,90,1026,6.13,359,2.82,91,1026,6.29,354,POINT (385557.971425302 3953569.2172241225),0.013364918,0.0131445415,0.012607131,0.012083339
1215291,6520815,35.730556,139.758333,0.018,2025-03-08 10:00:00,2025-03-08 19:00:00,0.022,0.025,0.021,0.014,3.29,83,1027,4.12,30,4.38,76,1026,3.6,20,5.57,62,1026,5.66,40,5.35,62,1026,3.6,10,2.08,88,1026,5.06,24,2.41,89,1026,5.57,12,2.65,90,1026,5.89,360,2.88,91,1026,6.08,355,POINT (387709.2490008467 3954774.454906251),0.013146833,0.013076197,0.012721266,0.012102616
1215294,6518335,35.713889,139.705556,0.016,2025-03-08 10:00:00,2025-03-08 19:00:00,0.016,0.02,0.018,0.019,3.29,83,1027,4.12,30,4.38,76,1026,3.6,20,5.57,62,1026,5.66,40,5.35,62,1026,3.6,10,2.01,87,1026,5.06,24,2.31,89,1026,5.61,8,2.56,90,1026,6.02,360,2.83,91,1026,6.16,355,POINT (382911.6910104624 3952987.4755166736),0.013647826,0.013461205,0.012956184,0.012320183
1215295,6520345,35.677778,139.716667,0.01,2025-03-08 10:00:00,2025-03-08 19:00:00,0.01,0.012,0.012,0.013,3.29,83,1027,4.12,30,4.38,76,1026,3.6,20,5.57,62,1026,5.66,40,5.35,62,1026,3.6,10,2.37,88,1026,5.27,21,2.6,89,1026,5.87,7,2.78,90,1026,6.33,359,2.98,91,1026,6.44,354,POINT (383864.4303169463 3948968.916965429),0.013147901,0.013029967,0.01260525,0.011700296
